holdings,shares
MMM,11766889
ABT,36155706
ABBV,36015586
ABMD,921764
ACN,12924804
ATVI,15765543
ADBE,9786044
AAP,1385227
AMD,24534939
AES,13566788
AFL,13330789
A,6243459
APD,4508763
AKAM,3322413
ALK,2519917
ALB,2352760
ARE,2526863
ALXN,4464762
ALGN,1463641
ALLE,1879726
LNT,5093576
ALL,6204235
GOOGL,6133622
GOOG,5921213
MO,37909797
AMZN,8700238
AMCR,31993489
AEE,5042673
AAL,12456031
AEP,10127578
AXP,13305698
AIG,17577589
AMT,9061419
AWK,3695881
AMP,2406333
ABC,2999086
AME,4693551
AMGN,11876171
APH,6101915
ADI,7536986
ANSS,1751860
ANTM,5073500
AOS,2766343
AON,4663531
APA,7694349
AIRC,199
AIV,199
AAPL,326022194
AMAT,18629898
APTV,5507557
ADM,11351071
ANET,1111339
AJG,3924299
AIZ,1211278
T,145360136
ATO,2566959
ADSK,4485888
ADP,8748509
AZO,472856
AVB,2847434
AVY,1702409
BKR,13984563
BLL,6674219
BAC,155290578
BK,16625805
BAX,10420452
BDX,5916353
BRK.A,312
BRK.B,39231937
BBY,4701149
BIO,439224
BIIB,3138887
BLK,2893364
BA,10825509
BKNG,835475
BWA,4986440
BXP,2889016
BSX,29208591
BMY,46096938
AVGO,8251926
BR,2359703
BF.B,3724059
COG,8124298
CDNS,5689424
CPB,4135551
COF,9330501
CAH,5987018
KMX,3347634
CCL,16277763
CARR,16619433
CTLT,3360302
CAT,11082112
CBOE,2202697
CBRE,6844806
CDW,2916305
CE,2385215
CNC,11830157
CNP,11111827
CERN,6252468
CF,4362415
CHRW,2773400
SCHW,30428431
CHTR,2976697
CVX,39270559
CMG,570812
CB,9208293
CHD,5068694
CI,7369707
CINF,3052530
CTAS,1792871
CSCO,86199127
C,42470056
CFG,8709287
CTXS,2512069
CLX,2572273
CME,7323236
CMS,5844869
KO,78898315
CTSH,10905596
CL,17486942
CMCSA,93142524
CMA,2836563
CAG,9971029
COP,27632735
ED,5977423
STZ,3457396
COO,1000697
CPRT,4240113
GLW,15587218
CTVA,15199454
COST,9001068
CCI,8798037
CSX,15601983
CMI,3019584
CVS,26699445
DHR,12897477
