tickers,shares,,,,,
DRI,16080,,,,,
TXG,22126,,,,,
ONEM,29386,,,,,
SRCE,5811,,,,,
VNET,34851,,,,,
TWOU,25283,,,,,
QFIN,40756,,,,,
601360,19798,,,,,
DDD,44974,,,,,
III,384459,,,,,
MMM,217376,,,,,
3MINDIA,1168,,,,,
1530,432000,,,,,
JOBS,10508,,,,,
000560,123300,,,,,
8341,32700,,,,,
888,92993,,,,,
EGHT,38096,,,,,
3260,92190,,,,,
3319,118750,,,,,
ATM,297070,,,,,
A2A,543728,,,,,
2018,290000,,,,,
AAK,62394,,,,,
AALB,35757,,,,,
AAON,14794,,,,,
AIR,12010,,,,,
ARL,26795,,,,,
AAN,12027,,,,,
AARTIIND,33074,,,,,
AAVAS,11356,,,,,
ABP,210172,,,,,
ABB,19787,,,,,
ABBN,656718,,,,,
ABT,669558,,,,,
ABBV,686707,,,,,
2670,9900,,,,,
174900,4694,,,,,
1820,9578,,,,,
4001,19519,,,,,
ANF,22080,,,,,
2374,69000,,,,,
ABMD,17946,,,,,
298380,7730,,,,,
078520,7592,,,,,
ABM,24974,,,,,
ABN,157535,,,,,
AP,483820,,,,,
ABG,269640,,,,,
ADCB,993654,,,,,
ADIB,507413,,,,,
ACEN,948500,,,,,
ACHC,32807,,,,,
ACAD,44892,,,,,
AKR,30956,,,,,
6282,126000,,,,,
ACC,33921,,,,,
XLRN,21524,,,,,
002281,17300,,,,,
ACCEL,6808,,,,,
AX1,144190,,,,,
ACN,246788,,,,,
ANA,8608,,,,,
ACCO,31661,,,,,
AC,74326,,,,,
2345,202000,,,,,
ACES,2595300,,,,,
088800,10046,,,,,
ACE,14415,,,,,
2353,1094551,,,,,
ACX,61216,,,,,
5142,5100,,,,,
ACIW,43054,,,,,
ACKB,8022,,,,,
8572,140300,,,,,
ACS,85334,,,,,
5536,19788,,,,,
3279,196,,,,,
ATVI,295396,,,,,
AYI,13812,,,,,
GOLF,12584,,,,,
ADANIENT,101430,,,,,
ATGL,108604,,,,,
ADANIGREEN,154180,,,,,
ADANIPORTS,292465,,,,,
ADANIPOWER,436532,,,,,
ADAPT,16699,,,,,
ADPT,27824,,,,,
ADRO,4682600,,,,,
2685,10640,,,,,
AIP,22253,,,,,
000547,49300,,,,,
ADDT B,72504,,,,,
ADEN,62281,,,,,
4401,48400,,,,,
ABC,172872,,,,,
ADE,83939,,,,,
ADHI,620300,,,,,
ADS,74717,,,,,
ADNT,35329,,,,,
4142,115485,,,,,
ABCAPITAL,166880,,,,,
ABFRL,99863,,,,,
6166,59584,,,,,
ADM,77555,,,,,
ADJ,28872,,,,,
ADBE,187269,,,,,
ADT,52707,,,,,
ATGE,18282,,,,,
7463,8200,,,,,
AAP,26484,,,,,
3269,366,,,,,
3152,18000,,,,,
WMS,21071,,,,,
AEIS,13915,,,,,
Foreign,417500,,,,,
8938,32000,,,,,
AMD,463734,,,,,
2330,44920,,,,,
265520,3991,,,,,
000969,83800,,,,,
8086,48437,,,,,
2395,165674,,,,,
6857,78989,,,,,
ADH,263200,,,,,
ADYEN,10515,,,,,
600893,66200,,,,,
AFE,45345,,,,,
ACM,53975,,,,,
ARE,30083,,,,,
AEDAS,6664,,,,,
AED,12073,,,,,
AEGN,12797,,,,,
AEGISCHEM,45022,,,,,
AGN,671443,,,,,
018250,4557,,,,,
AWX,69700,,,,,
AENA,27721,,,,,
8267,279800,,,,,
AEONCR,32900,,,,,
9787,5800,,,,,
4343,2200,,,,,
8570,40900,,,,,
7512,18800,,,,,
8905,40572,,,,,
3292,449,,,,,
AEONTS-F,36100,,,,,
AER,50327,,,,,
AFLT,460151,,,,,
AJRD,26545,,,,,
ADP,10216,,,,,
002389,27300,,,,,
000901,62157,,,,,
AVAV,8098,,,,,
AESB3,79497,,,,,
AES,261442,,,,,
AESGENER,1218430,,,,,
AF B,36250,,,,,
AMG,16608,,,,,
AFFLE,2747,,,,,
AFPR,5687,,,,,
AFL,263632,,,,,
067160,2207,,,,,
,,,,,,
ARI,37465,,,,,
APT,86975,,,,,
AFYA,10642,,,,,
AGHOL,51361,,,,,
BAG,27387,,,,,
5201,74500,,,,,
AGCO,25203,,,,,
AGS,71658,,,,,
AGFB,66622,,,,,
AGK,97027,,,,,
3383,575500,,,,,
A,117804,,,,,
AGLTY,402581,,,,,
AGIO,23112,,,,,
AGL,235559,,,,,
AGNC,199997,,,,,
AEM,95941,,,,,
AGR,3459,,,,,
