holdings,shares
FLWS,755700
TXG,2036645
ATNF,930936
ONEM,2247551
FCCY,269567
SRCE,349521
XXII,3911682
TWOU,1919481
DDD,3307280
MMM,16265735
FDMT,117999
ETNB,232893
EGHT,2850698
NMTR,4740175
MASS,78096
AHC,260368
AOS,3827843
AMRK,238193
ATEN,1389131
AAON,1167325
AIR,933887
AAN,950406
ABT,49967302
ABBV,49787471
ABEO,1928912
ANF,1747330
ABMD,1273090
ABM,1872342
AXAS,140843
ACIA,1075241
ACTG,1303742
ASO,898267
ACHC,2502279
ACAD,3368504
AKR,2437417
ACEL,1527348
AXDX,827684
XLRN,1531261
ACN,17859584
ACCO,2692265
ACCD,551493
ARAY,2469163
ACRX,3196620
ACER,44344
ACIW,3116226
ACRS,1315057
ACMR,304319
ACU,75799
ACNB,229974
ACOR,106313
ACR,350345
ATNM,349795
ATVI,21792468
AYI,1041397
GOLF,901734
AFIB,201417
ADMS,1032362
ADMP,4092849
AE,67594
AHCO,1849565
ADPT,3275733
ADUS,418923
AEY,47738
ADIL,90165
ACET,416301
ADMA,2360314
ADBE,13526486
ADT,4318555
ATGE,1367654
ADTN,1370767
AAP,1918161
WMS,1281886
ADES,540444
AEIS,1072367
AMD,33923872
ASIX,769288
ADV,2664310
ADXS,1383343
ADVM,2473817
ACM,4258726
AEGN,906289
AGLE,1186963
AEHR,680666
AMTX,460061
AERI,1310649
AJRD,2072970
AVAV,611214
ARPO,2274065
AES,18754797
AMG,1212615
AFBI,35089
AFRM,686134
AFL,18831227
MITT,1278175
AGCO,1691946
AGEN,3890459
AGE,426190
AGRX,2743071
A,8623125
AGYS,561264
AGIO,1763943
AGNC,15361045
ADC,1655599
AGFY,42900
AGFS,231250
ALRN,569272
AIRI,747231
AL,3049875
APD,6234071
AIRTP,1727
AIRT,32804
ATSG,1578872
ABNB,1397151
AIRG,354017
AKAM,4594960
AKBA,3858219
KERN,276388
AKRO,472033
AKUS,360892
AKTS,940406
ALG,308996
ALRM,1243903
ALK,3488598
ALSK,2204172
AIN,859475
ALB,3245955
ALBO,516064
AA,4984876
—,2021007
ALDX,926119
ALEC,1592201
ALRS,194339
ALEX,2022895
ALX,58362
ARE,3808121
ALXN,5867108
ALCO,244038
ALGN,2001132
ALGS,374919
ALIM,62517
ALJJ,145348
WTER,1152203
ALKS,4485633
ALLK,962628
Y,378985
ATI,3584971
ABTX,528798
ALGT,387097
ALLE,2594263
ALGM,1335760
ALNA,567871
ALE,1450661
ADS,1280759
LNT,7037207
AESE,298452
AMOT,242885
ALSN,3143241
ALLO,1778466
ALVR,478068
MDRX,4220863
