holdings,shares
TXG,283837
ABMD,351477
ACN,5135597
ATVI,6018306
ADBE,3718503
AMD,9408315
AFRM,201691
A,2371249
ABNB,443039
AKAM,1265024
ALB,453158
ARE,1062179
ALXN,810976
ALGN,551052
ALNY,909180
GOOGL,2336043
GOOG,2162795
ATUS,1787121
AMZN,3324909
AMT,3450507
AME,895503
APH,4652467
ADI,1433189
ANSS,674088
AON,1755679
AAPL,117368200
AMAT,7128095
APTV,1049032
ANET,444811
AJG,752221
ADSK,1708252
ADP,3157919
AZO,176708
BLL,1274138
BAX,1962519
BDX,2257065
BIO,81679
BMRN,1410629
BKI,1159216
BA,4529020
BKNG,318157
BSX,11009569
BMY,8701902
AVGO,3171253
BR,899838
BF.A,330748
BF.B,2402923
BMBL,448064
BURL,514357
CDNS,2166242
CZR,767672
CVNA,608635
CTLT,660444
CBOE,417155
CNC,4516236
CERN,2380166
CHTR,978152
LNG,1773247
CHWY,555457
CMG,218673
CHD,1902004
CTAS,693181
CTXS,955535
CLX,488743
NET,1652011
CGNX,649749
CL,6592093
COP,2
COO,381924
CPRT,1652796
CSGP,306022
COST,3441066
COUP,560913
CRWD,1388896
CCI,3350558
DHR,2489556
DDOG,1635370
DXCM,746812
DLR,2176508
DOCU,1377198
DG,1902530
DPZ,301542
DASH,222512
DKNG,1065351
DBX,2445335
ECL,1995843
EW,4851858
EA,2233494
ENPH,450515
EPAM,414175
EFX,945263
EQIX,693643
EL,1695327
ETSY,930194
EXAS,1313822
EXPE,1074972
EXPD,1316154
FB,18685212
FDS,295123
FAST,4462697
FIS,4824667
FRC,1364100
FISV,4426733
FLT,650177
FMC,1008316
FTNT,1077925
IT,654962
GNRC,243885
GPN,2293566
GDDY,1317712
GDRX,297256
HEI.A,566851
HEI,336893
HSY,1138767
HES,1073817
HLT,2155437
HD,8363265
HZNP,869251
HUBS,341817
IAC,612511
IDXX,663346
INFO,2771579
ILMN,1133408
INCY,1452094
PODD,513116
IBKR,299799
ICE,4363627
INTU,2020639
ISRG,914373
INVH,4407528
IPGP,270402
IQV,1489940
JKHY,295588
JBHT,657129
KSU,705965
KEYS,1446030
KLAC,1197068
LHX,1631568
LRCX,1110086
LW,1137319
LBRDA,93901
LBRDK,612567
LIN,4061728
LYV,1096665
LKQ,1003979
LMT,924949
LOW,5678755
LULU,923017
LYFT,1990043
MKL,53557
MKTX,280487
MLM,242021
MRVL,5216254
MAS,999138
MA,6887409
MTCH,1963548
MXIM,2082830
MKC,1934407
MCD,5791947
MTD,181893
MCHP,2092316
MU,8689235
MSFT,58587270
MRNA,2459783
MDB,210435
MPWR,166844
MNST,2869320
MCO,1235610
MSI,656735
MSCI,609106
NFLX,3340333
NKE,9877029
NVDA,4568036
NVR,27167
ORLY,552283
OSH,653872
OKTA,941956
ODFL,817827
OPEN,1343692
PLTR,2721418
PANW,717304
PAYX,2520086
PAYC,397555
PYPL,9097693
PTON,1946194
PENN,602631
PINS,4136998
PXD,1677983
PLUG,3904583
PPD,952265
PSA,1155284
QCOM,4412142
XM,205327
QS,514350
O,1449488
REG,659890
REGN,776603
RMD,1129646
RNG,623861
RBLX,1531790
ROK,902611
ROKU,862536
ROL,1719147
ROP,814881
ROST,2768021
SPGI,1869685
CRM,6772558
SBAC,852625
SGEN,1055880
SEIC,501892
NOW,1523171
SHW,626471
SIRI,6436912
SWKS,1280291
WORK,3701873
SNAP,8759940
SNOW,275673
SPLK,1256688
SQ,3027887
SSNC,1690617
SBUX,9144232
SYK,2629962
SUI,867294
SIVB,402855
SNPS,1183158
TTWO,894983
TDOC,1051131
TFX,362848
TER,1294426
TSLA,5964911
TXN,7149011
TMO,3059003
TJX,8859669
TSCO,903732
TTD,330751
TW,335300
TRU,1481936
TRMB,1944063
TWLO,1243118
TWTR,5891109
TYL,315306
UBER,8629213
UI,24360
UDR,1153338
ULTA,415890
UNP,5203403
UPS,2793833
U,1063387
MTN,156396
VAR,713645
VEEV,1058937
VRSN,747018
VRSK,1263866
VRTX,2019455
V,12730288
VMW,609660
VMC,1030006
DIS,7050357
WMG,691002
WCN,2035833
WAT,483214
W,568490
WST,575785
WAB,695727
WDAY,1429577
WYNN,808579
XLNX,1904450
YUM,2329529
ZBRA,415178
ZEN,456845
ZG,330263
Z,1214704
ZTS,3690971
ZM,1505915
ZI,689574
ZS,573503
