tickers,shares,,,,,
TSLA,5311067,,,,,
ASML,7447272,,,,,
MELI,1876053,,,,,
TCTZF,42849100,,,,,
MTHRF,26189700,,,,,
BABAF,70909856,,,,,
PPRUY,2757296,,,,,
ADYYF,769109,,,,,
MPNGF,44454830,,,,,
ILMN,4237923,,,,,
SPOT,4839569,,,,,
NIO,31223162,,,,,
NNDNF,11785400,,,,,
TAL,16844304,,,,,
ZLDSF,10259895,,,,,
DLVHF,7081486,,,,,
RACE,4745012,,,,,
YWGRF,86777600,,,,,
GNMSF,2548873,,,,,
LRLCY,2664975,,,,,
AMZN,263714,,,,,
TSM,44967000,,,,,
HLFFF,10552945,,,,,
OCDGF,25640101,,,,,
SBGSF,5322107,,,,,
,1186100,,,,,
IDEXY,21245632,,,,,
RHHBF,1918560,,,,,
ATLKF,12963440,,,,,
NSRGY,5551567,,,,,
BABA,2744361,,,,,
AMBFF,13909666,,,,,
SSNLF,7978596,,,,,
UMICY,11849441,,,,,
VWSYF,2239447,,,,,
IFNNF,13712278,,,,,
KNVKF,9975592,,,,,
HKXCF,8680143,,,,,
PIAIF,37534500,,,,,
BIDU,2041992,,,,,
BAMXF,4822772,,,,,
SNEJF,4177000,,,,,
,11680736,,,,,
DGEAF,9945508,,,,,
,4147434,,,,,
ARGX,1249105,,,,,
IBDSF,25435869,,,,,
,18297957,,,,,
MRNA,3201946,,,,,
TD,5740327,,,,,
STOHF,18614464,,,,,
ADDDF,846586,,,,,
RYCEF,202156568,,,,,
BBVA,60461703,,,,,
TKPHF,8085400,,,,,
RYDAF,16428969,,,,,
CIADF,46787000,,,,,
ALSMY,4941510,,,,,
RCRRF,6663200,,,,,
,6724836,,,,,
RYLPF,5026469,,,,,
EXXRF,3303396,,,,,
NVSEF,2847827,,,,,
SSDIY,452914,,,,,
TMNSF,1868930,,,,,
,13737294,,,,,
CNI,2205737,,,,,
DNBHF,12264292,,,,,
EBKOF,7843772,,,,,
ISNPY,100214195,,,,,
LZAGY,361430,,,,,
WIX,917880,,,,,
CFRSF,2498714,,,,,
MRAAF,2421800,,,,,
BKNG,97679,,,,,
SAPGF,1671694,,,,,
WTBCF,5049041,,,,,
ALC,3177947,,,,,
COCXF,21622,,,,,
RYDAF,11500265,,,,,
BBRYF,8332421,,,,,
ALIZF,806821,,,,,
NGGTF,16152118,,,,,
UCBJF,1839196,,,,,
,78475300,,,,,
NXGPF,1919266,,,,,
ASAZF,7342987,,,,,
BFFAF,2275881,,,,,
GEAGF,5015311,,,,,
CRTSF,1658818,,,,,
BZLFF,5066202,,,,,
RBGPF,1859226,,,,,
SKSUF,8225300,,,,,
KNBHF,1138106,,,,,
SLT,761673,,,,,
PNDZF,1318991,,,,,
TOYOF,1865700,,,,,
ELOAF,44800000,,,,,
SKFOF,509430,,,,,
NVZMY,2401809,,,,,
PIGEF,3300800,,,,,
BOLSF,11160808,,,,,
GLAXF,7228389,,,,,
BCLYF,64697283,,,,,
SAUHF,108916,,,,,
LGRDY,1202689,,,,,
,4470400,,,,,
SVNLY,10503539,,,,,
RADLY,21795702,,,,,
,3690959,,,,,
LTOUF,5632629,,,,,
CVAC,1055006,,,,,
KGDEF,20279000,,,,,
MPSYF,664989,,,,,
SZKMF,1423900,,,,,
HMAGF,2066394,,,,,
CROTF,343128,,,,,
,166185,,,,,
,284847,,,,,
,114190,,,,,
