tickers,shares,,,,,
MSFT,10781219,,,,,
GOOGL,716097,,,,,
MDT,10281140,,,,,
AAPL,8390180,,,,,
JNJ,6294912,,,,,
C,14007658,,,,,
BAC,27712907,,,,,
WFC,27584608,,,,,
TSM,7380985,,,,,
JPM,6162601,,,,,
ICE,6318931,,,,,
DHR,3202277,,,,,
HON,3225165,,,,,
SSNLF,8969100,,,,,
KO,11667954,,,,,
ANTM,1863438,,,,,
PG,4126036,,,,,
GE,48782484,,,,,
UNH,1495450,,,,,
GOOG,296165,,,,,
AIG,13653256,,,,,
LEN,6166759,,,,,
MCD,2188469,,,,,
V,2079479,,,,,
PNC,3050978,,,,,
GM,10808202,,,,,
ADI,2933988,,,,,
MU,5684823,,,,,
FB,1553662,,,,,
ADBE,794000,,,,,
LOW,2418914,,,,,
ANSS,1042000,,,,,
TXN,2282946,,,,,
AXP,3056897,,,,,
PEP,2474773,,,,,
MDLZ,5978253,,,,,
SONY,3375000,,,,,
QCOM,2191000,,,,,
NSC,1379985,,,,,
COP,8063299,,,,,
CI,1518873,,,,,
PLD,3145211,,,,,
HCA,1886900,,,,,
MCHP,2228000,,,,,
TMO,642553,,,,,
SBUX,2754022,,,,,
CBSH,4348062,,,,,
HUM,690218,,,,,
DLTR,2578451,,,,,
DG,1306561,,,,,
CTVA,7087000,,,,,
PH,995000,,,,,
SPY,716572,,,,,
GS,996949,,,,,
CSCO,5830143,,,,,
AMP,1330000,,,,,
AMGN,1116000,,,,,
PYPL,1068000,,,,,
MMC,2103988,,,,,
PFE,6684031,,,,,
APTV,1887543,,,,,
TWTR,4540000,,,,,
XYL,2400000,,,,,
HD,912660,,,,,
DHI,3445210,,,,,
CNHI,18302399,,,,,
MLM,823000,,,,,
RPM,2570000,,,,,
MGA,3251132,,,,,
PPL,8133203,,,,,
ORCL,3491625,,,,,
ZTS,1346898,,,,,
BABA,941945,,,,,
JCI,4680000,,,,,
HAL,11366885,,,,,
ALLE,1836000,,,,,
DIS,1178862,,,,,
WM,1790874,,,,,
EA,1465120,,,,,
RHHBF,602500,,,,,
ALC,3105000,,,,,
HES,3813667,,,,,
ACN,769234,,,,,
ELAN,6499000,,,,,
,1492036,,,,,
HPE,16279141,,,,,
CINF,2192000,,,,,
CMI,843172,,,,,
BKNG,85400,,,,,
SCHW,3500468,,,,,
ROST,1500201,,,,,
,1947000,,,,,
COF,1851337,,,,,
CFG,5114251,,,,,
AVY,1167246,,,,,
MRO,27143787,,,,,
TSN,2787779,,,,,
FDX,681090,,,,,
BSX,4859456,,,,,
,9631710,,,,,
SWHFX,1121000,,,,,
IQV,957951,,,,,
COG,10471000,,,,,
,1204992,,,,,
FIS,1165634,,,,,
VOD,10004932,,,,,
GLW,4483651,,,,,
,759677,,,,,
GSK,4176194,,,,,
DDAIF,2159229,,,,,
,5839498,,,,,
EWBC,3000000,,,,,
GD,1018000,,,,,
,2884213,,,,,
BNPQF,2782700,,,,,
CRM,652923,,,,,
,4094912,,,,,
TEL,1179766,,,,,
OBYCF,10056877,,,,,
TFC.PRR,2911819,,,,,
PSX,1990000,,,,,
NOV,10076888,,,,,
HIG,2822900,,,,,
ERIC,11536480,,,,,
,2238698,,,,,
CAT,738613,,,,,
SU,7897632,,,,,
EQH,5114540,,,,,
NSRGY,1095673,,,,,
AMAT,1460204,,,,,
BAMXF,1371126,,,,,
IP,2376429,,,,,
PANW,322027,,,,,
SUI,720000,,,,,
SYY,1406907,,,,,
,2144791,,,,,
ELS,1600000,,,,,
MPC,2408289,,,,,
CFR,1132000,,,,,
VZ,1602610,,,,,
PXD,820000,,,,,
,3559770,,,,,
DFS,1007678,,,,,
GPEDY,680299,,,,,
OSK,1028171,,,,,
MUFG,19937000,,,,,
BK,2041034,,,,,
WBA,2100000,,,,,
CNC,1362088,,,,,
MS,1184216,,,,,
VIAC,2019379,,,,,
CIT,2022510,,,,,
HOG,1936773,,,,,
BMY,1123900,,,,,
ZBH,440508,,,,,
BCLYF,31957588,,,,,
,2915800,,,,,
,3043100,,,,,
SWK,355090,,,,,
MRVI,2206044,,,,,
SO,994110,,,,,
FFIV,337100,,,,,
ABBV,544967,,,,,
OMC,913679,,,,,
SYF,1589451,,,,,
IPG,2230783,,,,,
HST,3420800,,,,,
GT,4584996,,,,,
GPC,496042,,,,,
FITB,1769412,,,,,
STT,665188,,,,,
ADNT,1311943,,,,,
CICHF,57976000,,,,,
,18703800,,,,,
PCAR,490820,,,,,
BIIB,150011,,,,,
MRK,442329,,,,,
SMFNF,1166500,,,,,
FLR,2263685,,,,,
MUR,2182252,,,,,
,34694000,,,,,
BNDSF,36345074,,,,,
,1662054,,,,,
BOKF,94286,,,,,
LEN.B,46457,,,,,
